Code poste;Nom poste;Fonction;Etat;Tension (kV);Longitude poste (DD);Latitude poste (DD);Géo-point poste
PRAG5;PRAGNERES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.021958333333333333;42.824311111111115;42.8243111111, 0.0219583333333
LAZAR;LAZARET (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.7577166666666667;45.23001111111111;45.2300111111, -0.757716666667
PAUIL;PAUILLAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.75565;45.20569166666667;45.2056916667, -0.75565
CAZAR;CAZARIL;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;0.5140305555555555;43.171699999999994;43.1717, 0.514030555556
MURET;MURET;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.3412638888888888;43.44795;43.44795, 1.34126388889
LIMOU;LIMOUZAT (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.711377777777778;45.96576666666667;45.9657666667, 3.71137777778
BZBAK;BOURBAKI;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.0635972222222223;49.43655277777778;49.4365527778, 1.06359722222
GAUDI;GAUDIERE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;2.678513888888889;43.241775000000004;43.241775, 2.67851388889
LEGUG;LEGUGNON;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.6347361111111111;43.20766666666667;43.2076666667, -0.634736111111
AVIG7;AVIGNONET;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.7934277777777776;43.36263888888889;43.3626388889, 1.79342777778
LUSSA;LUSSAGNET;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.22442777777777778;43.78017222222222;43.7801722222, -0.224427777778
BANNE;BANNE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.7522527777777777;46.288475;46.288475, 2.75225277778
GREPI;GREPILLES;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;4.117519444444444;46.082483333333336;46.0824833333, 4.11751944444
BAIXA;BAIXAS;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;2.8039666666666663;42.73241388888889;42.7324138889, 2.80396666667
GAILL;GAILLAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.8856833333333334;43.90314722222222;43.9031472222, 1.88568333333
SARR6;SARREGUEMINES;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;7.0774083333333335;49.095594444444444;49.0955944444, 7.07740833333
MONDI;MONDION;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;0.4531;46.92751944444444;46.9275194444, 0.4531
L.CE1;LAVAL-DE-CERE I;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.9485805555555555;44.953405555555555;44.9534055556, 1.94858055556
TUILI;TUILIERES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.6332388888888889;44.846044444444445;44.8460444444, 0.633238888889
HERMI;HERMILLON;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;6.361955555555555;45.284708333333334;45.2847083333, 6.36195555556
NOUET;NOUETTES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.097658333333333;49.22705833333333;49.2270583333, 4.09765833333
LIVAR;LIVAROT;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.15249166666666666;49.01101388888889;49.0110138889, 0.152491666667
ETAUL;ETAULIERS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.5667388888888889;45.219186111111114;45.2191861111, -0.566738888889
REMIR;REMIREMONT;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.599513888888889;48.017583333333334;48.0175833333, 6.59951388889
DURRE;DURRE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.590852777777778;46.38683888888889;46.3868388889, 2.59085277778
P.TER;POIX-TERRON;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.629975000000001;49.647841666666665;49.6478416667, 4.629975
SANCE;SANCERRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.8362083333333334;47.33838888888889;47.3383888889, 2.83620833333
BECHE;BECHE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.264525;45.38788611111111;45.3878861111, 2.264525
G.LUS;GAY-LUSSAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;7.33045;47.74230277777778;47.7423027778, 7.33045
MELI5;MELINCOLS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.861344444444444;46.94831111111111;46.9483111111, 5.86134444444
TOUVR;TOUVRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.24366666666666667;45.67041111111111;45.6704111111, 0.243666666667
L.BAR;LIGNY-EN-BARROIS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.331669444444445;48.680527777777776;48.6805277778, 5.33166944444
ESTER;ESTERRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.0025666666666666667;42.875125;42.875125, 0.00256666666667
MOUL8;MOULINEAUX;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.2686027777777777;48.82635277777778;48.8263527778, 2.26860277778
ORMES;ORMES;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;3.975138888888889;49.23598333333334;49.2359833333, 3.97513888889
GUCHE;GUCHEN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.3302111111111111;42.864472222222226;42.8644722222, 0.330211111111
MTFOR;MONTFORT (-L AMAURY);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.810125;48.78245833333333;48.7824583333, 1.810125
EYRE5;EYREIN;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.9035638888888888;45.338944444444444;45.3389444444, 1.90356388889
MERIG;MERIGNAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.6709388888888889;44.849536111111114;44.8495361111, -0.670938888889
CISSA;CISSAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;-0.8435305555555556;45.21850555555556;45.2185055556, -0.843530555556
THERA;THERAIN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.115838888888889;49.414630555555554;49.4146305556, 2.11583888889
PAU;PAU;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.3598166666666667;43.28896111111111;43.2889611111, -0.359816666667
TREGU;TREGUEUX;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;-2.770663888888889;48.49105277777778;48.4910527778, -2.77066388889
MAGRE;MAGRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.2759777777777777;45.80327777777777;45.8032777778, 1.27597777778
BELLA;BELLAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.0440027777777778;46.10531666666667;46.1053166667, 1.04400277778
1ALBI;ALBIES;POSTE DE TRANSFORMATION;EN EXPLOITATION;<45kV;1.6980083333333333;42.77823611111111;42.7782361111, 1.69800833333
LECTO;LECTOURE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.6029805555555555;43.93599444444444;43.9359944444, 0.602980555556
LABAR;LABARDE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.6423277777777777;45.02345555555556;45.0234555556, -0.642327777778
SSMON;ST-JEAN-DE-MONTS;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-2.054263888888889;46.79413888888889;46.7941388889, -2.05426388889
FEUIL;FEUILLANE;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;4.906961111111111;43.45386666666667;43.4538666667, 4.90696111111
CLERA;CLERAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;-0.2507972222222222;45.178124999999994;45.178125, -0.250797222222
AYDES;AYDES (LES);POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.8903527777777778;47.936636111111106;47.9366361111, 1.89035277778
P.LAN;PAS-DES-LANCIERS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.253211111111111;43.41235833333333;43.4123583333, 5.25321111111
SSREN;ST-RENAN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-4.6403638888888885;48.434491666666666;48.4344916667, -4.64036388889
T.VER;TAPIS-VERT;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.193733333333333;48.691563888888886;48.6915638889, 6.19373333333
BAYET;BAYET;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;3.2943305555555553;46.27325555555556;46.2732555556, 3.29433055556
CHACE;CHACE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-0.06016111111111111;47.207858333333334;47.2078583333, -0.0601611111111
HERBL;HERBLAY;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.172544444444444;49.00440833333333;49.0044083333, 2.17254444444
MALGO;MALGOVERT;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;6.790952777777778;45.61911111111111;45.6191111111, 6.79095277778
RODEZ;RODEZ;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.574033333333333;44.34326111111111;44.3432611111, 2.57403333333
BEON;BEON;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.24775;47.10535277777778;47.1053527778, 5.24775
J.BOI;JEU-LES-BOIS;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.7500444444444445;46.67549722222222;46.6754972222, 1.75004444444
MANOI;MANOIR (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;1.2183166666666667;49.317505555555556;49.3175055556, 1.21831666667
LAMA5;LAMATIVIE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.031536111111111;44.982977777777776;44.9829777778, 2.03153611111
C.SEI;CHATILLON-SUR-SEINE;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;4.559541666666666;47.852161111111116;47.8521611111, 4.55954166667
TUCOY;TUCOY;POSTE DE TRANSFORMATION;EN EXPLOITATION;150kV;-0.25990277777777776;42.909572222222224;42.9095722222, -0.259902777778
BORDI;BORDIERES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.5892222222222223;43.472408333333334;43.4724083333, 1.58922222222
LANN7;LANNEMEZAN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.39265833333333333;43.11373611111111;43.1137361111, 0.392658333333
P.REI;PONT-DE-LA-REINE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.035475;42.90595277777778;42.9059527778, -0.035475
SEYS5;SEYSSES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.2833194444444445;43.5161;43.5161, 1.28331944444
TAUTE;TAUTE;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;-1.3605722222222223;49.20288333333334;49.2028833333, -1.36057222222
HOURA;HOURAT (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;-0.4289861111111111;42.98423888888889;42.9842388889, -0.428986111111
MARNA;MARNAVAL;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.990883333333334;48.62763888888889;48.6276388889, 4.99088333333
PERRI;PERRIGNY;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.0262166666666666;47.29045555555555;47.2904555556, 5.02621666667
BLOTT;BLOTTEREAU;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-1.4899444444444445;47.2361;47.2361, -1.48994444444
CHOC5;CHOCQUET;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.220091666666667;50.70583055555556;50.7058305556, 2.22009166667
BVIL7;BELLEVILLE (BELLEVILLE-SUR-LOIRE);POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;2.874877777777778;47.51068333333333;47.5106833333, 2.87487777778
KERAN;KERANGALL;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-4.060469444444444;47.991233333333334;47.9912333333, -4.06046944444
LISLO;LISLOCH;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-3.5844;47.85195277777778;47.8519527778, -3.5844
BALAN;BALAN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.100583333333333;45.84597777777778;45.8459777778, 5.10058333333
GOSNA;GOSNAY;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.5797305555555554;50.504330555555555;50.5043305556, 2.57973055556
LURE;LURE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.505355555555555;47.67395833333333;47.6739583333, 6.50535555556
FINS;LES FINS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.639380555555555;47.08561666666667;47.0856166667, 6.63938055556
MEDOC;MEDOC (LESPARRE);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.9459361111111111;45.29763055555556;45.2976305556, -0.945936111111
PARIZ;PARIZE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.1699805555555556;46.85720833333333;46.8572083333, 3.16998055556
FOUG5;FOUGEROLLES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.393638888888889;47.88271944444445;47.8827194444, 6.39363888889
HEM;HEM;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;3.209752777777778;50.65646944444444;50.6564694444, 3.20975277778
SCHEI;SCHEIBENHARD;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;8.157347222222223;48.97265;48.97265, 8.15734722222
BELI5;BELIC;POSTE DE TRANSFORMATION;EN EXPLOITATION;<45kV;-0.8813388888888889;44.011313888888886;44.0113138889, -0.881338888889
T.GAT;THIMERT-GATELLES (PROD. CRUCEY);POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.2613;48.57239166666667;48.5723916667, 1.2613
FRONT;FRONTIGNAN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.7521694444444442;43.43619444444444;43.4361944444, 3.75216944444
PANIS;PANISSO;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.8946694444444443;42.792630555555554;42.7926305556, 2.89466944444
TAMAR;TAMAREAU;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;3.716366666666667;43.633125;43.633125, 3.71636666667
SSUSU;ST-USUGE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.195047222222223;46.67093333333333;46.6709333333, 5.19504722222
ROBI5;ROBINSON;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.2459722222222225;48.77312777777777;48.7731277778, 2.24597222222
SARR9;SARRALTROFF;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;7.083105555555555;48.765369444444445;48.7653694444, 7.08310555556
BONN6;BONNEAU;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;0.39348055555555556;46.59834444444445;46.5983444444, 0.393480555556
JOUSS;JOUSSEAU;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.6733916666666666;46.17008333333333;46.1700833333, 0.673391666667
PRAUT;PRAUTHOY;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.280005555555555;47.68807222222222;47.6880722222, 5.28000555556
BISC5;BISCHWILLER;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;7.832522222222222;48.77081111111111;48.7708111111, 7.83252222222
POIRI;POIRIER;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.5141083333333334;48.63310555555556;48.6331055556, 1.51410833333
CHARD;CHARDES;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.6848388888888889;46.24275277777778;46.2427527778, 0.684838888889
A.LI7;AIR-LIQUIDE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.708855555555556;44.366725;44.366725, 4.70885555556
REBOU;REBOUL;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.709772222222222;44.413355555555555;44.4133555556, 4.70977222222
SAUVA;SAUVAGEON;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.398061111111111;48.283544444444445;48.2835444444, 2.39806111111
GARE5;GARENNE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.8830027777777778;44.113925;44.113925, 0.883002777778
VENIZ;VENIZEL;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.407261111111111;49.3692;49.3692, 3.40726111111
PRAGN;PRAGNERES;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;0.011313888888888887;42.82169722222223;42.8216972222, 0.0113138888889
BILLA;BILLANCOURT;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.251736111111111;48.827622222222224;48.8276222222, 2.25173611111
BREU5;BREUIL;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;4.450236111111112;46.78848333333333;46.7884833333, 4.45023611111
DEBON;DEBONNAIRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.184277777777778;49.10068888888889;49.1006888889, 6.18427777778
AUBIN;AUBIN;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.257197222222222;47.10477777777778;47.1047777778, 2.25719722222
SABLE;SABLE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-0.3532444444444444;47.83753611111111;47.8375361111, -0.353244444444
MOREA;MOREAU;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.390458333333333;43.211275;43.211275, 2.39045833333
ESPAL;ESPALUNGUE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.4161638888888889;42.98135555555556;42.9813555556, -0.416163888889
CLIMA;CLIMADEF;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.2335000000000003;48.897075;48.897075, 2.2335
MIRAI;MIRAIL (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.029855555555555555;44.57969166666667;44.5796916667, -0.0298555555556
RISCL;RISCLE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.07155277777777777;43.65770277777778;43.6577027778, -0.0715527777778
AIGUE;AIGUEBELLE;POSTE DE TRANSFORMATION;EN EXPLOITATION;45kV;6.315175;45.52634166666667;45.5263416667, 6.315175
MEZEA;MEZEAUX;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.30499166666666666;46.52708333333333;46.5270833333, 0.304991666667
MARC8;MARCLAN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.3340416666666666;43.48705;43.48705, 1.33404166667
STP;ATELIER POLYETHYLENE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.694847222222222;49.144061111111114;49.1440611111, 6.69484722222
CHAZE;CHAZEAU;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.265013888888889;46.93253055555555;46.9325305556, 3.26501388889
ARSEN;ARSENAL;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-1.6427055555555554;49.65177222222222;49.6517722222, -1.64270555556
AQUED;AQUEDUCS (LES);POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.429008333333333;48.593963888888894;48.5939638889, 2.42900833333
RIOM;RIOM;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.1226333333333334;45.884025;45.884025, 3.12263333333
BETHI;BETHISY;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.7938083333333332;49.297075;49.297075, 2.79380833333
SSBOU;ST-PHILBERT-DE-BOUAINE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-1.5061277777777777;47.00044444444445;47.0004444444, -1.50612777778
BELMO;BELMONT;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.660172222222222;45.866391666666665;45.8663916667, 4.66017222222
MOULI;MOULINELLE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.893494444444444;49.17105;49.17105, 5.89349444444
CARIS;CARISEY;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;3.8313499999999996;47.91696944444444;47.9169694444, 3.83135
BRUZ;BRUZ;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-1.7736027777777776;48.00995277777778;48.0099527778, -1.77360277778
MATEL;MATEL;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.0979527777777776;46.053288888888886;46.0532888889, 4.09795277778
NEULI;NEULISE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.178522222222223;45.91119444444444;45.9111944444, 4.17852222222
ARTOU;ARTOUSTE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.4108888888888889;42.88619444444444;42.8861944444, -0.410888888889
THIME;THIMERT;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.2602111111111112;48.57159444444445;48.5715944444, 1.26021111111
S.BRE;SAULT-BRENAZ;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.406097222222223;45.85313333333333;45.8531333333, 5.40609722222
BREI5;BREIL;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.1502611111111111;47.47440277777778;47.4744027778, 0.150261111111
G.VER;GRAND-VERGER;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.908691666666667;45.580525;45.580525, 5.90869166667
RUIRE;RUIRES (LES);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.739141666666667;45.14573055555555;45.1457305556, 5.73914166667
CULOZ;CULOZ;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.782930555555556;45.84243888888889;45.8424388889, 5.78293055556
MTAU5;MONTAUBAN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.3212055555555555;43.98469444444444;43.9846944444, 1.32120555556
SOULL;SOULLANS;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;-1.887186111111111;46.784616666666665;46.7846166667, -1.88718611111
1N.MA;NEUILLY-SUR-MARNE /NEUILL;POSTE DE TRANSFORMATION;EN EXPLOITATION;<45kV;2.518752777777778;48.85514722222222;48.8551472222, 2.51875277778
ESCOU;ESCOULOUBRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.137252777777778;42.71348888888889;42.7134888889, 2.13725277778
CAPEN;CAPENDU;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.5494749999999997;43.187011111111104;43.1870111111, 2.549475
MOLL5;MOLLETTES (LES);POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;6.031847222222222;45.46540277777778;45.4654027778, 6.03184722222
ROUS7;ROUSSY;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.171994444444445;49.44499444444444;49.4449944444, 6.17199444444
CATT5;CATTENOM;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.234552777777778;49.39051944444444;49.3905194444, 6.23455277778
VIGY;VIGY;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;6.277186111111111;49.197711111111104;49.1977111111, 6.27718611111
BEDAR;BEDARIEUX;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.1691944444444444;43.61306388888889;43.6130638889, 3.16919444444
JONCE;JONCELS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.1959638888888886;43.73661944444444;43.7366194444, 3.19596388889
UGIN7;UGINE;POSTE DE TRANSFORMATION;EN EXPLOITATION;45kV;6.429347222222223;45.74462777777778;45.7446277778, 6.42934722222
POITI;POITIERS;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.3608194444444444;46.55746388888888;46.5574638889, 0.360819444444
N.BRI;NOTRE-DAME-DE-BRIANCON;POSTE DE TRANSFORMATION;EN EXPLOITATION;45kV;6.478030555555556;45.52734722222222;45.5273472222, 6.47803055556
T.BAR;TRONVILLE-EN-BARROIS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.282508333333333;48.710172222222226;48.7101722222, 5.28250833333
PATRA;PATRAS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.19509444444444443;44.48611666666667;44.4861166667, 0.195094444444
DOMPI;DOMPIERRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.6920222222222225;46.51647777777778;46.5164777778, 3.69202222222
SSSIG;STE-SIGOLENE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.225122222222223;45.23339444444444;45.2333944444, 4.22512222222
PEYRU;PEYRUSSE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.023877777777778;45.222722222222224;45.2227222222, 3.02387777778
DUVY;DUVY;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.8490194444444445;49.23500277777778;49.2350027778, 2.84901944444
PLOUG;PLOUGASTEL;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-4.350741666666666;48.376583333333336;48.3765833333, -4.35074166667
P.SAO;POUILLY-SUR-SAONE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.1194444444444445;47.010155555555556;47.0101555556, 5.11944444444
CARR5;CARRES(LES);POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.1893388888888885;48.66173055555556;48.6617305556, 2.18933888889
CABAN;CABAN;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;4.832783333333333;43.43586388888889;43.4358638889, 4.83278333333
LINXE;LINXE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-1.232802777777778;43.907358333333335;43.9073583333, -1.23280277778
ISSE;ISSE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-1.4640444444444445;47.62668888888889;47.6266888889, -1.46404444444
1RENA;RENAULT /SANDOUVILLE 20KV;POSTE DE TRANSFORMATION;EN EXPLOITATION;<45kV;0.29454722222222224;49.47463611111111;49.4746361111, 0.294547222222
DRONN;DRONNIERE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;-0.3386138888888889;49.13854166666667;49.1385416667, -0.338613888889
JARLA;JARLARD;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.1797138888888887;43.924391666666665;43.9243916667, 2.17971388889
CNREI;CHANTEREINE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.884422222222222;49.48638888888889;49.4863888889, 2.88442222222
VERR5;VERRERIE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;6.0212916666666665;43.274969444444444;43.2749694444, 6.02129166667
QUEIG;QUEIGE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.461055555555555;45.716458333333335;45.7164583333, 6.46105555556
LOUSL;LOUSLITGES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.16363055555555556;43.58431111111111;43.5843111111, 0.163630555556
GAMBS;GAMBSHEIM;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;7.90743888888889;48.68932777777778;48.6893277778, 7.90743888889
ARCOM;ARCOMIE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.250227777777778;44.866080555555556;44.8660805556, 3.25022777778
CIEUR;CIEURAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.4941416666666667;44.362436111111116;44.3624361111, 1.49414166667
CTAUN;CHATEAUNEUF;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.70815;44.48395277777778;44.4839527778, 4.70815
DUNES;DUNES (LES);POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.4653944444444447;51.05139722222222;51.0513972222, 2.46539444444
RUELL;RUELLE;POSTE DE TRANSFORMATION;EN EXPLOITATION;<45kV;0.22035833333333335;45.68054166666666;45.6805416667, 0.220358333333
GUER6;GUERLETTES (LES);POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.8794777777777778;50.96707777777778;50.9670777778, 1.87947777778
C.FON;CLAIRE-FONTAINE;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;0.23557777777777777;48.005316666666666;48.0053166667, 0.235577777778
CSLLA;CASTELLANE;POSTE DE TRANSFORMATION;EN EXPLOITATION;150kV;6.538277777777778;43.84543611111111;43.8454361111, 6.53827777778
